"Sample","Time","ColonyFormingUnitsPerDroplet","Likelihood","LowerCI","UpperCI","GridSize","ExcludedWellPositions","ExcludedGridPositions","TotalExclusions"
"SPCC1494.08c",8,22.1728536358104,0.00925909032811023,9.94576460877979,44.4462837174875,4,"","",0
"SPCC18.17c",8,0,1,0,0.320115312805095,4,"","",0
"SPCC1827.04",8,249.520405148821,0.0337597368442997,105.491667524874,536.183070312196,4,"","",0
"SPAC12B10.14c",8,0,1,0,0.320115312805095,4,"","",0
"SPAC1952.09c",8,0,1,0,0.320115312805095,4,"","",0
"SPAC1F3.10c",8,0,1,0,0.320115312805095,4,"","",0
"SPAC26H5.07c",8,0,1,0,0.320115312805095,4,"","",0
"SPAC57A7.05",8,0,1,0,0.320115312805095,4,"","",0
"SPAC5D6.06c",8,0,1,0,0.320115312805095,4,"","",0
"SPBC21H7.04",8,0,1,0,0.320115312805095,4,"","",0
"SPCC162.04c",8,0,1,0,0.320115312805095,4,"","",0
"SPAC10F6.05c",8,0,1,0,0.320115312805095,4,"","",0
"SPAC144.08",8,216.194395064994,0.0426002743200338,87.9991282156182,488.171091396972,4,"","",0
"SPAC16A10.05c",8,1.62610798823476,0.0388232297362019,0.624577362354467,3.49075433719587,4,"","",0
"SPBC16E9.11c",8,5.77796643212711,0.0383998998417411,2.38557195615718,12.8239340672526,4,"","",0
"SPBC215.04",8,8.00356562694949,0.0425002849541188,3.25791391074167,18.0691328155359,4,"","",0
"SPBC725.02",8,1.4979363626958,0.0470583675652336,0.512028372583583,3.52464176596738,4,"","",0
"SPBC839.11c",8,0,1,0,0.320115312805095,4,"","",0
"SPBP8B7.25",8,53.116717307243,0.0104858894977324,23.5003777819034,108.267602720016,4,"","",0
"SPAC17H9.11",10,0.979626036581098,0.0796634982818204,0.297764886762895,2.37186119005336,4,"","",0
"SPAC23E2.01",10,0,1,0,0.320115312805095,4,"","",0
"SPAC8E11.07c",10,0,1,0,0.320115312805095,4,"","",0
"SPAC227.17c",10,0,1,0,0.320115312805095,4,"","",0
"SPBC23G7.13c",10,0,1,0,0.320115312805095,4,"","",0
"SPBC23G7.06c",10,0,1,0,0.320115312805095,4,"","",0
"SPBC691.04",10,0,1,0,0.320115312805095,4,"","",0
"SPCC794.08",10,0,1,0,0.320115312805095,4,"","",0
"SPAC4F10.20",10,0,1,0,0.320115312805095,4,"","",0
"SPBC119.06",10,0,1,0,0.320115312805095,4,"","",0
"SPBC18E5.07",10,3.22508702406243,0.00627840589044546,1.32220528424665,7.0665345317071,4,"","",0
"SPBC405.04c",10,0,1,0,0.320115312805095,4,"","",0
"SPBC776.15c",10,0,1,0,0.320115312805095,4,"","",0
"SPAC22F3.10c",10,0,1,0,0.320115312805095,4,"","",0
"SPBC1711.13",10,0,1,0,0.320115312805095,4,"","",0
"SPBC29A3.01",10,0,1,0,0.320115312805095,4,"","",0
"SPCC162.12",10,0,1,0,0.320115312805095,4,"","",0
"SPAC26F1.10c",10,0.171475573552589,0.0840983361749291,0.00978302731756365,0.755360405281684,4,"","",0
"SPCC1753.02c",10,5.87908259270374,0.00340910523700518,2.60207389498705,11.9759301060722,4,"","",0
"SPAC227.04",10,0,1,0,0.320115312805095,4,"","",0
"SPBC17G9.10",10,0.979626036581098,0.0796634982818204,0.297764886762895,2.37186119005336,4,"","",0
"SPAC1556.02c",10,0,1,0,0.320115312805095,4,"","",0
"SPCC4G3.04c",10,0,1,0,0.320115312805095,4,"","",0
"972 h-",10,0,1,0,0.320115312805095,4,"","",0
"SPBC1683.01",10,0,1,0,0.320148301411662,4,"9","",1
"SPAC3A11.11c",10,0,1,0,0.320115312805095,4,"","",0
"SPACUNK4.15",10,0,1,0,0.320115312805095,4,"","",0
"SPBC16E9.19",10,40.5905003651389,0.0125865775035229,16.6536972943366,91.2375902075519,4,"","",0
"SPBC9B6.03",10,0,1,0,0.320115312805095,4,"","",0
"SPCC1494.08c",10,1.56746563646628,0.0107249510406497,0.604098161284614,3.3443385462308,4,"","",0
"SPCC18.17c",10,0,1,0,0.320115312805095,4,"","",0
"SPCC1827.04",10,36.2859879479651,0.0388722181202974,15.3796009978082,77.9909954532132,4,"","",0
"SPAC12B10.14c",10,0,1,0,0.320115312805095,4,"","",0
"SPAC1952.09c",10,0,1,0,0.320115312805095,4,"","",0
